sample_id,source_path,window_start_ts,window_end_ts,window_rel_start_s,window_rel_end_s,count_2e4,frame116_count,seed_touch_present,ramp_present,phase_plateau_present,phase_exit_present,corridor_ratio,aligned_ratio,fff4_hits,max_phase_sum,grade,ladder_level
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020.ndjson,1777180356486,1777180371486,60.0,75.0,526,533,1,1,0,0,0.034,0.591,9,62,B,3
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180356004,1777180371004,105.0,120.0,525,531,1,1,0,0,0.034,0.571,9,62,B,3
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020.ndjson,1777180351486,1777180366486,55.0,70.0,519,532,1,1,0,0,0.03,0.472,9,62,B,3
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180461004,1777180476004,210.0,225.0,517,524,1,1,0,0,0.008,0.309,4,54,B,3
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179536506,1777179551506,170.0,185.0,502,521,1,0,0,0,0.589,0.935,22,0,B,2
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179535869,1777179550869,135.0,150.0,500,520,1,0,0,0,0.573,0.927,22,0,B,2
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179531506,1777179546506,165.0,180.0,514,517,1,0,0,0,0.358,0.799,22,0,B,2
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179530869,1777179545869,130.0,145.0,515,515,1,0,0,0,0.318,0.783,22,0,B,2
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179526506,1777179541506,160.0,175.0,524,511,1,0,0,0,0.174,0.642,22,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179525869,1777179540869,125.0,140.0,528,512,1,0,0,0,0.135,0.619,2,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179381506,1777179396506,15.0,30.0,509,527,1,0,0,0,0.112,0.89,18,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179386506,1777179401506,20.0,35.0,500,526,1,0,0,0,0.112,0.785,18,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179376506,1777179391506,10.0,25.0,518,525,1,0,0,0,0.08,0.956,1,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180426004,1777180441004,175.0,190.0,504,528,1,0,0,0,0.034,0.686,7,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020.ndjson,1777180426486,1777180441486,130.0,145.0,501,529,1,0,0,0,0.034,0.698,7,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180421004,1777180436004,170.0,185.0,496,536,1,0,0,0,0.034,0.524,7,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179391506,1777179406506,25.0,40.0,504,520,1,0,0,0,0.033,0.796,17,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020.ndjson,1777180421486,1777180436486,125.0,140.0,495,538,1,0,0,0,0.033,0.532,7,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180431004,1777180446004,180.0,195.0,503,532,1,0,0,0,0.028,0.85,7,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_051136_020.ndjson,1777180361486,1777180376486,65.0,80.0,523,535,1,0,0,0,0.009,0.488,1,62,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180361004,1777180376004,110.0,125.0,522,532,1,0,0,0,0.009,0.496,1,62,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180366004,1777180381004,115.0,130.0,522,530,1,0,0,0,0.009,0.379,1,12,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180471004,1777180486004,220.0,235.0,507,522,1,0,0,0,0.006,0.726,3,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_051051_010.ndjson,1777180466004,1777180481004,215.0,230.0,498,512,1,0,0,0,0.006,0.48,3,0,B,1
