sample_id,source_path,window_start_ts,window_end_ts,window_rel_start_s,window_rel_end_s,count_2e4,frame116_count,seed_touch_present,ramp_present,phase_plateau_present,phase_exit_present,corridor_ratio,aligned_ratio,fff4_hits,max_phase_sum,grade,ladder_level
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179366506,1777179381506,0.0,15.0,514,525,0,0,0,0,0.004,0.389,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179371506,1777179386506,5.0,20.0,520,524,0,0,0,0,0.004,0.708,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179376506,1777179391506,10.0,25.0,518,525,1,0,0,0,0.08,0.956,1,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179381506,1777179396506,15.0,30.0,509,527,1,0,0,0,0.112,0.89,18,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179386506,1777179401506,20.0,35.0,500,526,1,0,0,0,0.112,0.785,18,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179391506,1777179406506,25.0,40.0,504,520,1,0,0,0,0.033,0.796,17,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179396506,1777179411506,30.0,45.0,502,518,0,0,0,0,0.0,0.855,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179401506,1777179416506,35.0,50.0,498,521,0,0,0,0,0.0,0.965,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179406506,1777179421506,40.0,55.0,503,518,0,0,0,0,0.0,0.965,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179411506,1777179426506,45.0,60.0,507,522,0,0,0,0,0.0,0.874,0,49,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179416506,1777179431506,50.0,65.0,507,522,0,0,0,0,0.0,0.678,0,53,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179421506,1777179436506,55.0,70.0,502,532,0,0,0,0,0.0,0.461,0,53,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179426506,1777179441506,60.0,75.0,504,526,0,0,0,0,0.0,0.247,0,92,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179431506,1777179446506,65.0,80.0,508,517,0,0,0,0,0.0,0.238,0,92,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179436506,1777179451506,70.0,85.0,517,510,0,0,0,0,0.0,0.145,0,92,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179441506,1777179456506,75.0,90.0,519,510,0,0,0,0,0.0,0.147,0,154,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179446506,1777179461506,80.0,95.0,516,519,0,0,0,0,0.002,0.1,0,154,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179451506,1777179466506,85.0,100.0,509,516,0,0,0,0,0.002,0.229,0,154,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179456506,1777179471506,90.0,105.0,502,518,0,0,0,0,0.014,0.263,0,94,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179461506,1777179476506,95.0,110.0,496,530,0,0,0,0,0.011,0.242,0,94,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179466506,1777179481506,100.0,115.0,493,523,0,0,0,0,0.011,0.111,0,60,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179471506,1777179486506,105.0,120.0,506,528,0,0,0,0,0.0,0.059,0,11,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179476506,1777179491506,110.0,125.0,516,516,0,0,0,0,0.0,0.0,0,2,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179481506,1777179496506,115.0,130.0,516,524,0,0,0,0,0.0,0.0,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179486506,1777179501506,120.0,135.0,507,525,0,0,0,0,0.0,0.0,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179491506,1777179506506,125.0,140.0,504,521,0,0,0,0,0.0,0.0,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179496506,1777179511506,130.0,145.0,498,511,0,0,0,0,0.0,0.002,0,56,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179501506,1777179516506,135.0,150.0,507,509,0,0,0,0,0.004,0.061,0,56,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179506506,1777179521506,140.0,155.0,507,512,0,1,1,0,0.01,0.188,3,147,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179511506,1777179526506,145.0,160.0,517,520,0,1,1,0,0.012,0.313,3,184,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179516506,1777179531506,150.0,165.0,526,516,0,1,1,0,0.025,0.417,3,184,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179521506,1777179536506,155.0,170.0,529,513,0,0,0,0,0.123,0.489,0,184,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179526506,1777179541506,160.0,175.0,524,511,1,0,0,0,0.174,0.642,22,0,B,1
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179531506,1777179546506,165.0,180.0,514,517,1,0,0,0,0.358,0.799,22,0,B,2
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179536506,1777179551506,170.0,185.0,502,521,1,0,0,0,0.589,0.935,22,0,B,2
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179541506,1777179556506,175.0,190.0,517,521,0,0,0,0,0.846,0.967,0,0,C,C_only
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179546506,1777179561506,180.0,195.0,505,518,0,0,0,0,0.664,0.938,0,0,C,C_only
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179551506,1777179566506,185.0,200.0,506,510,0,0,0,0,0.331,0.886,0,0,C,C_only
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179556506,1777179571506,190.0,205.0,494,519,0,0,0,0,0.015,0.846,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179561506,1777179576506,195.0,210.0,499,501,0,0,0,0,0.0,0.856,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179566506,1777179581506,200.0,215.0,498,519,0,0,0,0,0.0,0.879,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179571506,1777179586506,205.0,220.0,499,514,0,0,0,0,0.0,0.893,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179576506,1777179591506,210.0,225.0,493,530,0,0,0,0,0.0,0.919,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179581506,1777179596506,215.0,230.0,495,514,0,0,0,0,0.0,0.932,0,0,D,
