"sample_id","sample_path","event_type","event_count","candidate_id","changed_event_count","changed_ratio"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x131","872","1"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x90","643","0.737"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x116","872","1"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x101","18","0.021"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0xD8","822","0.943"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x2E4","870","0.998"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x191","370","0.424"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x127","0","0"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x371","207","0.237"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0xAA","55","0.063"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","accel_like","872","0x108","565","0.648"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x131","877","1"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x90","654","0.746"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x116","877","1"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x101","23","0.026"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0xD8","840","0.958"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x2E4","875","0.998"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x191","394","0.449"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x127","0","0"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x371","213","0.243"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0xAA","49","0.056"
"toyota_seg_IGN_ON_20260311_184921_000","D:\Temp\20260312\raw_can_logs\toyota_seg_IGN_ON_20260311_184921_000.ndjson","brake_like","877","0x108","590","0.673"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x131","803","0.993"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x90","641","0.792"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x116","804","0.994"
"toyota_seg_IGN_ON_20260418_163136_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_seg_IGN_ON_20260418_163136_000.ndjson","accel_like","809","0x101","33","0.041"
