sample_id,regime,sample_path,slew_limit,mode,parse_errors,frames_260,status,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error,oversmoothed_ratio,undersmoothed_ratio,target_pos_saturation_ratio,target_neg_saturation_ratio,replay_pos_saturation_ratio,replay_neg_saturation_ratio
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,25.0,bounded,0,17382,ok,1334.368,7803.1,200.282,494.0,0.366,0.39,0.081,0.041,0.027,0.003
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,50.0,bounded,0,17382,ok,1157.028,7684.7,200.479,469.0,0.368,0.327,0.081,0.041,0.036,0.006
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,75.0,bounded,0,17382,ok,1031.673,7605.0,197.222,444.0,0.373,0.274,0.081,0.041,0.045,0.009
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,25.0,unbounded,0,17382,ok,1310.636,7285.95,200.723,494.0,0.352,0.408,0.081,0.041,0.042,0.004
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,50.0,unbounded,0,17382,ok,1085.486,7337.65,201.209,468.0,0.35,0.346,0.081,0.041,0.043,0.008
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,75.0,unbounded,0,17382,ok,956.802,7157.75,198.185,443.0,0.35,0.295,0.081,0.041,0.053,0.015
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,25.0,identity,0,17382,ok,1310.636,7285.95,200.723,494.0,0.352,0.408,0.081,0.041,0.042,0.004
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,50.0,identity,0,17382,ok,1085.486,7337.65,201.209,468.0,0.35,0.346,0.081,0.041,0.043,0.008
anchor_190101,anchor,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,75.0,identity,0,17382,ok,956.802,7157.75,198.185,443.0,0.35,0.295,0.081,0.041,0.053,0.015
partial_171414,partial_ramp,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,25.0,bounded,0,27306,ok,322.106,1341.0,78.088,266.0,0.251,0.338,0.002,0.009,0.0,0.001
partial_171414,partial_ramp,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,50.0,bounded,0,27306,ok,233.717,577.75,77.355,229.0,0.246,0.28,0.002,0.009,0.0,0.002
