sample_id,regime,decode_mode,sample_path,window,slew_limit,mode,parse_errors,frames_260,status,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error,oversmoothed_ratio,undersmoothed_ratio,target_pos_saturation_ratio,target_neg_saturation_ratio,replay_pos_saturation_ratio,replay_neg_saturation_ratio
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,125.0,bounded,0,630,ok,636.467,4870.85,47.132,258.6,0.302,0.116,0.0,0.227,0.0,0.221
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,150.0,bounded,0,630,ok,632.778,4870.85,43.059,258.6,0.304,0.076,0.0,0.227,0.0,0.222
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,175.0,bounded,0,630,ok,630.081,4870.85,38.782,258.6,0.307,0.073,0.0,0.227,0.0,0.227
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,125.0,identity,0,630,ok,29.567,143.55,45.119,139.0,0.188,0.191,0.0,0.227,0.0,0.222
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,150.0,identity,0,630,ok,22.84,114.0,38.388,118.0,0.184,0.127,0.0,0.227,0.0,0.222
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,175.0,identity,0,630,ok,17.806,89.0,31.094,93.0,0.184,0.121,0.0,0.227,0.0,0.227
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,125.0,bounded,0,1254,ok,657.327,7191.3,60.193,259.4,0.29,0.14,0.0,0.095,0.0,0.091
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,150.0,bounded,0,1254,ok,651.785,7191.3,53.534,259.0,0.29,0.097,0.0,0.095,0.0,0.092
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,175.0,bounded,0,1254,ok,647.593,7191.3,46.311,259.0,0.29,0.095,0.0,0.095,0.0,0.092
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,125.0,identity,0,1254,ok,78.928,458.7,60.27,158.4,0.255,0.174,0.0,0.095,0.0,0.091
