sample_id,source_path,window_start_ts,window_end_ts,window_rel_start_s,window_rel_end_s,count_2e4,frame116_count,seed_touch_present,ramp_present,phase_plateau_present,phase_exit_present,corridor_ratio,aligned_ratio,fff4_hits,max_phase_sum,grade,ladder_level
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269232838,1778269247838,165.0,180.0,502,557,1,1,0,0,0.111,0.847,38,16,B,3
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269234684,1778269249684,130.0,145.0,503,556,1,1,0,0,0.106,0.872,37,16,B,3
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269229684,1778269244684,125.0,140.0,507,553,1,1,0,0,0.094,0.834,28,7,B,3
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269237838,1778269252838,170.0,185.0,507,545,1,1,0,0,0.051,0.848,24,122,B,3
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269242838,1778269257838,175.0,190.0,515,534,1,1,0,0,0.026,0.579,14,122,B,3
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269147838,1778269162838,80.0,95.0,523,531,1,1,0,0,0.026,0.382,3,2,B,3
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269142838,1778269157838,75.0,90.0,534,535,1,1,0,0,0.024,0.507,3,2,B,3
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269144684,1778269159684,40.0,55.0,530,532,1,1,0,0,0.024,0.455,3,2,B,3
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269152838,1778269167838,85.0,100.0,522,530,1,1,0,0,0.019,0.326,2,75,B,3
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269149684,1778269164684,45.0,60.0,520,536,1,1,0,0,0.019,0.409,2,2,B,3
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269154684,1778269169684,50.0,65.0,526,528,1,1,0,0,0.017,0.299,2,75,B,3
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269224684,1778269239684,120.0,135.0,513,537,1,0,0,0,0.089,0.775,24,0,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269227838,1778269242838,160.0,175.0,507,555,1,0,0,0,0.086,0.84,24,0,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269222838,1778269237838,155.0,170.0,513,543,1,0,0,0,0.063,0.75,14,0,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269207838,1778269222838,140.0,155.0,506,542,1,0,0,0,0.037,0.321,4,0,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269209684,1778269224684,105.0,120.0,500,545,1,0,0,0,0.037,0.33,4,0,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269204684,1778269219684,100.0,115.0,507,531,1,0,0,0,0.036,0.337,4,0,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269212838,1778269227838,145.0,160.0,504,533,1,0,0,0,0.034,0.383,4,0,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269199684,1778269214684,95.0,110.0,529,538,1,0,0,0,0.03,0.362,4,22,B,1
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268995672,1778269010672,40.0,55.0,523,529,1,0,0,0,0.03,0.217,2,1,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269202838,1778269217838,135.0,150.0,516,536,1,0,0,0,0.03,0.332,4,1,B,1
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778269000672,1778269015672,45.0,60.0,518,534,1,0,0,0,0.024,0.279,2,1,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269177838,1778269192838,110.0,125.0,541,531,1,0,0,0,0.023,0.356,8,111,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269182838,1778269197838,115.0,130.0,535,533,1,0,0,0,0.023,0.368,8,111,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269184684,1778269199684,80.0,95.0,544,532,1,0,0,0,0.023,0.361,8,98,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269187838,1778269202838,120.0,135.0,543,532,1,0,0,0,0.023,0.372,8,58,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269179684,1778269194684,75.0,90.0,549,538,1,0,0,0,0.022,0.349,8,111,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269189684,1778269204684,85.0,100.0,545,536,1,0,0,0,0.022,0.369,8,58,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269134684,1778269149684,30.0,45.0,523,535,1,0,0,0,0.017,0.422,1,121,B,1
toyota_all_20260508_193747_008,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_all_20260508_193747_008.ndjson,1778269137838,1778269152838,70.0,85.0,529,541,1,0,0,0,0.011,0.518,1,90,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269139684,1778269154684,35.0,50.0,529,540,1,0,0,0,0.011,0.559,1,2,B,1
toyota_seg_IGN_ON_20260508_193824_016,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193824_016.ndjson,1778269219684,1778269234684,115.0,130.0,512,535,1,0,0,0,0.007,0.647,1,0,B,1
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778269005672,1778269020672,50.0,65.0,511,533,1,0,0,0,0.006,0.544,2,1,B,1
