sample_id,source_path,window_start_ts,window_end_ts,window_rel_start_s,window_rel_end_s,count_2e4,frame116_count,seed_touch_present,ramp_present,phase_plateau_present,phase_exit_present,corridor_ratio,aligned_ratio,fff4_hits,max_phase_sum,grade,ladder_level
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268955672,1778268970672,0.0,15.0,517,514,0,0,0,0,0.014,0.204,0,76,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268960672,1778268975672,5.0,20.0,509,511,0,0,0,0,0.012,0.164,0,67,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268965672,1778268980672,10.0,25.0,513,506,0,0,0,0,0.006,0.065,0,50,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268970672,1778268985672,15.0,30.0,505,504,0,0,0,0,0.004,0.224,0,20,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268975672,1778268990672,20.0,35.0,515,511,0,0,0,0,0.004,0.417,0,0,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268980672,1778268995672,25.0,40.0,514,537,0,0,0,0,0.0,0.527,0,0,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268985672,1778269000672,30.0,45.0,514,545,0,0,0,0,0.006,0.455,0,0,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268990672,1778269005672,35.0,50.0,520,538,0,0,0,0,0.024,0.288,0,0,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778268995672,1778269010672,40.0,55.0,523,529,1,0,0,0,0.03,0.217,2,1,B,1
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778269000672,1778269015672,45.0,60.0,518,534,1,0,0,0,0.024,0.279,2,1,B,1
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778269005672,1778269020672,50.0,65.0,511,533,1,0,0,0,0.006,0.544,2,1,B,1
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778269010672,1778269025672,55.0,70.0,511,537,0,0,0,0,0.0,0.711,0,130,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778269015672,1778269030672,60.0,75.0,513,531,0,0,0,0,0.0,0.765,0,130,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778269020672,1778269035672,65.0,80.0,503,530,0,0,0,0,0.004,0.555,0,130,D,
toyota_seg_IGN_ON_20260508_193555_015,/mnt/d/Temp/20260312/raw_can_logs/20260509/raw_can_logs/toyota_seg_IGN_ON_20260508_193555_015.ndjson,1778269025672,1778269040672,70.0,85.0,503,521,0,1,0,0,0.013,0.342,5,130,D,
