sample_id,regime,variant,base_slew,regime_gate,deep_neg_threshold,deep_neg_boost,low_band_limit,low_band_boost,parse_errors,frames_260,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error
city_20260418_late_stop_approach,city_approach_window,baseline,175.0,,,1.0,,1.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,deep_neg_only_2p00,175.0,city_transition_settle_tail,-2000.0,2.0,,1.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,low_band_catchup_2p00,175.0,city_transition_settle_tail,,1.0,100.0,2.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,low_band_catchup_3p00,175.0,city_transition_settle_tail,,1.0,100.0,3.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,combo_deep2_low2,175.0,city_transition_settle_tail,-2000.0,2.0,100.0,2.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,combo_deep2_low3,175.0,city_transition_settle_tail,-2000.0,2.0,100.0,3.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_transition_settle_tail,city_transition_settle_tail,baseline,175.0,,,1.0,,1.0,0,651,149.009,1270.0,44.683,176.0
city_20260418_transition_settle_tail,city_transition_settle_tail,deep_neg_only_2p00,175.0,city_transition_settle_tail,-2000.0,2.0,,1.0,0,651,162.074,1436.0,44.298,180.0
city_20260418_transition_settle_tail,city_transition_settle_tail,low_band_catchup_2p00,175.0,city_transition_settle_tail,,1.0,100.0,2.0,0,651,139.797,1214.5,42.489,176.0
city_20260418_transition_settle_tail,city_transition_settle_tail,low_band_catchup_3p00,175.0,city_transition_settle_tail,,1.0,100.0,3.0,0,651,133.384,1112.0,41.76,173.0
city_20260418_transition_settle_tail,city_transition_settle_tail,combo_deep2_low2,175.0,city_transition_settle_tail,-2000.0,2.0,100.0,2.0,0,651,151.108,1340.0,42.105,178.65
city_20260418_transition_settle_tail,city_transition_settle_tail,combo_deep2_low3,175.0,city_transition_settle_tail,-2000.0,2.0,100.0,3.0,0,651,142.756,1233.0,41.375,175.55
city_20260418_final_hold,city_final_hold_window,baseline,175.0,,,1.0,,1.0,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,deep_neg_only_2p00,175.0,city_transition_settle_tail,-2000.0,2.0,,1.0,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,low_band_catchup_2p00,175.0,city_transition_settle_tail,,1.0,100.0,2.0,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,low_band_catchup_3p00,175.0,city_transition_settle_tail,,1.0,100.0,3.0,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,combo_deep2_low2,175.0,city_transition_settle_tail,-2000.0,2.0,100.0,2.0,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,combo_deep2_low3,175.0,city_transition_settle_tail,-2000.0,2.0,100.0,3.0,0,1051,8.885,81.0,17.71,82.0
