sample_id,regime,variant,base_slew,regime_gate,low_band_limit,low_band_boost,parse_errors,frames_260,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error
city_20260418_late_stop_approach,city_approach_window,baseline,175.0,,,1.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,low_band_catchup_4p00,175.0,city_transition_settle_tail,100.0,4.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,low_band_catchup_4p50,175.0,city_transition_settle_tail,100.0,4.5,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,low_band_catchup_5p00,175.0,city_transition_settle_tail,100.0,5.0,0,1288,14.1,81.0,18.267,81.0
city_20260418_late_stop_approach,city_approach_window,low_band_catchup_5p50,175.0,city_transition_settle_tail,100.0,5.5,0,1288,14.1,81.0,18.267,81.0
city_20260418_transition_settle_tail,city_transition_settle_tail,baseline,175.0,,,1.0,0,651,149.009,1270.0,44.683,176.0
city_20260418_transition_settle_tail,city_transition_settle_tail,low_band_catchup_4p00,175.0,city_transition_settle_tail,100.0,4.0,0,651,128.298,1070.5,41.72,173.0
city_20260418_transition_settle_tail,city_transition_settle_tail,low_band_catchup_4p50,175.0,city_transition_settle_tail,100.0,4.5,0,651,126.202,1028.5,41.72,173.0
city_20260418_transition_settle_tail,city_transition_settle_tail,low_band_catchup_5p00,175.0,city_transition_settle_tail,100.0,5.0,0,651,124.406,1028.5,41.72,173.0
city_20260418_transition_settle_tail,city_transition_settle_tail,low_band_catchup_5p50,175.0,city_transition_settle_tail,100.0,5.5,0,651,122.881,1028.5,41.72,173.0
city_20260418_final_hold,city_final_hold_window,baseline,175.0,,,1.0,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,low_band_catchup_4p00,175.0,city_transition_settle_tail,100.0,4.0,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,low_band_catchup_4p50,175.0,city_transition_settle_tail,100.0,4.5,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,low_band_catchup_5p00,175.0,city_transition_settle_tail,100.0,5.0,0,1051,8.885,81.0,17.71,82.0
city_20260418_final_hold,city_final_hold_window,low_band_catchup_5p50,175.0,city_transition_settle_tail,100.0,5.5,0,1051,8.885,81.0,17.71,82.0
