"sample_id","sample_path","value_type_primary","ladder_level","grade","frame116_count","duration_min","seed_touch_present","ramp_present","phase_plateau_present","phase_exit_present","joined_lifecycle_strength","family_131_primary_zone","family_260_primary_zone","family_131_260_aligned","family_fff4_presence","corridor_match_strength","id_2e4_activity_level","id_d8_structural_reference_strength","companion_primary_mode","companion_b45_abs_corr","companion_b67_abs_corr","disengage_suspect_present","lane_change_transition_present","active_core_present","late_stop_present","bridge_candidate","top_tier_peak_count","parse_errors","notes"
"toyota_all_20260307_164838_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260307_164838_000.ndjson","entry_side","3","B","15919","7.88","1","1","0","0","1","f986","ffc8","3","1","1","1","1","b4-b5","0.275","0.056","","","","","no","0","0",""
"toyota_all_20260311_174324_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260311_174324_000.ndjson","entry_side","","C","19535","9.48","0","1","0","0","0","f986","0087","3","1","1","1","1","b4-b5","0.44","0.202","","","","","no","0","0",""
"toyota_all_20260311_184713_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260311_184713_000.ndjson","companion_control","","D","3361","1.58","0","0","0","0","0","067a","0000","2","0","0","1","1","b6-b7","0.098","0.198","","","","","no","0","0",""
"toyota_all_20260311_184920_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260311_184920_000.ndjson","entry_side","3","B","6724","3.1","1","1","0","0","1","ffc5","ffc5","3","1","1","1","1","b6-b7","0.25","0.652","","","","","no","0","0",""
"toyota_all_20260311_185311_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260311_185311_000.ndjson","entry_side","","C","3183","1.49","0","1","0","0","0","fffc","fffc","3","1","1","1","1","b4-b5","0.892","0.184","","","","","no","0","0",""
"toyota_all_20260311_185450_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260311_185450_000.ndjson","companion_control","","C","800","0.37","0","0","0","0","0","067a","feea","2","0","1","1","1","b4-b5","0.346","0.127","","","","","no","0","0",""
"toyota_all_20260312_185305_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260312_185305_000.ndjson","companion_control","","D","2313","1.36","0","0","0","0","0","ffc8","ffc8","3","0","0","1","1","b6-b7","0.031","0.538","","","","","no","0","0",""
"toyota_all_20260312_185439_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260312_185439_000.ndjson","companion_control","","C","1219","0.58","0","0","0","0","0","067a","0028","3","0","1","1","1","b6-b7","0.596","0.653","","","","","no","0","0",""
"toyota_all_20260312_185519_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260312_185519_000.ndjson","entry_side","1","B","1410","0.65","1","0","0","0","0","f986","ffd4","3","1","1","1","1","b4-b5","0.343","0.267","","","","","no","0","0",""
"toyota_all_20260312_185606_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260312_185606_000.ndjson","companion_control","","D","1826","0.86","0","0","0","0","0","ffce","ffce","2","0","0","1","1","b6-b7","0.124","0.514","","","","","no","0","0",""
"toyota_all_20260312_185703_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260312_185703_000.ndjson","companion_control","","D","1892","0.89","0","0","0","0","0","0007","0007","3","0","0","1","1","dual","0.045","0.045","","","","","no","0","0",""
"toyota_all_20260312_185800_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260312_185800_000.ndjson","entry_side","","C","6138","2.9","0","1","0","0","0","0022","0022","3","1","1","1","1","b4-b5","0.383","0.156","","","","","no","0","0",""
"toyota_all_20260312_190100_000","D:\Temp\20260312\raw_can_logs\toyota_all_20260312_190100_000.ndjson","full_event","5","A","14512","7.05","1","1","1","1","3","f986","ffdb","3","1","1","1","1","b4-b5","0.485","0.118","","","","","no","2","0",""
